<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURCHF,20251103,000000,0.92783,0.92793,0.92775,0.92783,214840000
EURCHF,20251103,000100,0.92782,0.92806,0.92782,0.92801,273090000
EURCHF,20251103,000200,0.928,0.92802,0.92791,0.92792,184670000
EURCHF,20251103,000300,0.92791,0.92803,0.92779,0.92792,166020000
EURCHF,20251103,000400,0.92791,0.92794,0.92783,0.92786,120560000
EURCHF,20251103,000500,0.92784,0.92795,0.9278,0.92792,292280000
EURCHF,20251103,000600,0.92793,0.92793,0.92782,0.92786,238900000
EURCHF,20251103,000700,0.92785,0.92791,0.92784,0.9279,260160000
EURCHF,20251103,000800,0.9279,0.92793,0.92785,0.92786,57360000
EURCHF,20251103,000900,0.92789,0.92798,0.92789,0.92796,187800000
EURCHF,20251103,001000,0.92797,0.92801,0.9279,0.92799,98260000
EURCHF,20251103,001100,0.928,0.928,0.92794,0.92795,127120000
EURCHF,20251103,001200,0.92795,0.92795,0.92783,0.92793,56580000
EURCHF,20251103,001300,0.92794,0.92807,0.9279,0.92795,82120000
EURCHF,20251103,001400,0.92795,0.92798,0.92789,0.92789,36390000
EURCHF,20251103,001500,0.92791,0.92796,0.92789,0.9279,48550000
EURCHF,20251103,001600,0.9279,0.9279,0.92786,0.92786,22540000
EURCHF,20251103,001700,0.92801,0.92801,0.9279,0.92792,45220000
EURCHF,20251103,001800,0.92791,0.92801,0.92791,0.92801,18140000
EURCHF,20251103,001900,0.92801,0.92809,0.92791,0.92809,35840000
EURCHF,20251103,002000,0.92809,0.92813,0.92806,0.92813,11920000
EURCHF,20251103,002100,0.92813,0.92818,0.92813,0.92817,20320000
EURCHF,20251103,002200,0.92818,0.92819,0.92812,0.92813,37560000
EURCHF,20251103,002300,0.92813,0.92814,0.9281,0.92814,16040000
EURCHF,20251103,002400,0.92815,0.92821,0.92812,0.92819,30140000
EURCHF,20251103,002500,0.9282,0.9282,0.92815,0.92815,18140000
EURCHF,20251103,002600,0.92816,0.92816,0.92816,0.92816,3220000
EURCHF,20251103,002700,0.92815,0.92815,0.92814,0.92815,5020000
EURCHF,20251103,002800,0.92815,0.92823,0.92815,0.92822,18360000
EURCHF,20251103,002900,0.92822,0.92822,0.92819,0.92819,11760000
EURCHF,20251103,003000,0.92818,0.92818,0.92814,0.92816,25200000
EURCHF,20251103,003100,0.92814,0.92814,0.92808,0.92809,21140000
EURCHF,20251103,003200,0.9281,0.92815,0.9281,0.92812,20460000
EURCHF,20251103,003300,0.92813,0.92813,0.92809,0.92812,17460000
EURCHF,20251103,003400,0.92811,0.92812,0.92809,0.9281,19120000
EURCHF,20251103,003500,0.92809,0.92809,0.92806,0.92809,12960000
EURCHF,20251103,003600,0.92809,0.92809,0.92804,0.92804,12900000
EURCHF,20251103,003700,0.92804,0.92804,0.92793,0.92793,25320000
EURCHF,20251103,003800,0.92791,0.92795,0.9279,0.92794,21510000
EURCHF,20251103,003900,0.92794,0.92795,0.92794,0.92795,4800000
EURCHF,20251103,004000,0.92795,0.92796,0.92785,0.92786,22180000
EURCHF,20251103,004100,0.92786,0.92791,0.92786,0.9279,22180000
EURCHF,20251103,004200,0.92786,0.92791,0.92785,0.92789,32750000
EURCHF,20251103,004300,0.92788,0.92792,0.92787,0.92792,15360000
EURCHF,20251103,004400,0.92789,0.92792,0.92789,0.92792,8620000
EURCHF,20251103,004500,0.92794,0.92795,0.92775,0.92776,35210000
EURCHF,20251103,004600,0.92776,0.92777,0.92772,0.92774,48600000
EURCHF,20251103,004700,0.92774,0.92776,0.92771,0.92772,22100000
EURCHF,20251103,004800,0.92773,0.92776,0.92771,0.92773,36000000
EURCHF,20251103,004900,0.92774,0.92778,0.92772,0.92777,28800000
EURCHF,20251103,005000,0.92776,0.92779,0.92772,0.92775,24740000
EURCHF,20251103,005100,0.92774,0.92779,0.92774,0.92778,13200000
EURCHF,20251103,005200,0.92778,0.92779,0.92777,0.92777,12520000
EURCHF,20251103,005300,0.92778,0.92782,0.92777,0.92779,24520000
EURCHF,20251103,005400,0.92779,0.9278,0.92776,0.92777,19200000
EURCHF,20251103,005500,0.92779,0.92779,0.92777,0.92778,12600000
EURCHF,20251103,005600,0.92777,0.92779,0.92777,0.92778,23400000
EURCHF,20251103,005700,0.92778,0.9278,0.92777,0.92779,18000000
EURCHF,20251103,005800,0.92778,0.92779,0.92776,0.92776,18140000
EURCHF,20251103,005900,0.92775,0.92779,0.92775,0.92775,32600000
EURCHF,20251103,010000,0.92777,0.92778,0.92775,0.92775,49850000
EURCHF,20251103,010100,0.92776,0.92783,0.92775,0.92782,43780000
EURCHF,20251103,010200,0.92783,0.92787,0.9278,0.92782,29340000
EURCHF,20251103,010300,0.92781,0.92783,0.92781,0.92781,7800000
EURCHF,20251103,010400,0.92782,0.92786,0.92781,0.92783,38400000
EURCHF,20251103,010500,0.92783,0.92789,0.92783,0.92784,34720000
EURCHF,20251103,010600,0.92784,0.92786,0.92782,0.92783,27220000
EURCHF,20251103,010700,0.92783,0.92783,0.9278,0.92781,18000000
EURCHF,20251103,010800,0.92781,0.92781,0.9277,0.92772,49920000
EURCHF,20251103,010900,0.92772,0.92774,0.92772,0.92772,10720000
EURCHF,20251103,011000,0.92771,0.92776,0.92771,0.92775,25800000
EURCHF,20251103,011100,0.92776,0.92782,0.92775,0.9278,49840000
EURCHF,20251103,011200,0.92781,0.92782,0.9278,0.92781,14920000
EURCHF,20251103,011300,0.9278,0.92781,0.9278,0.92781,9000000
EURCHF,20251103,011400,0.92782,0.92782,0.92779,0.92779,28040000
EURCHF,20251103,011500,0.92778,0.92783,0.92778,0.92783,38400000
EURCHF,20251103,011600,0.92783,0.92783,0.9278,0.92782,25700000
EURCHF,20251103,011700,0.92783,0.92784,0.9278,0.92781,17320000
EURCHF,20251103,011800,0.92782,0.92783,0.92779,0.9278,24220000
EURCHF,20251103,011900,0.92781,0.92783,0.9278,0.92781,20020000
EURCHF,20251103,012000,0.92783,0.92789,0.92781,0.92787,31040000
EURCHF,20251103,012100,0.92784,0.92785,0.92781,0.92782,19640000
EURCHF,20251103,012200,0.92782,0.92784,0.92782,0.92782,14400000
EURCHF,20251103,012300,0.92782,0.92782,0.92778,0.9278,8540000
EURCHF,20251103,012400,0.92778,0.9278,0.92777,0.92778,48240000
EURCHF,20251103,012500,0.92777,0.9278,0.92777,0.92779,22640000
EURCHF,20251103,012600,0.92778,0.92778,0.92777,0.92778,3600000
EURCHF,20251103,012700,0.92778,0.9278,0.92778,0.92779,9000000
EURCHF,20251103,012800,0.92778,0.9278,0.92778,0.92778,19120000
EURCHF,20251103,012900,0.92779,0.9278,0.92778,0.92778,14400000
EURCHF,20251103,013000,0.92779,0.92785,0.92778,0.92784,13200000
EURCHF,20251103,013100,0.92782,0.92785,0.92781,0.92781,21880000
EURCHF,20251103,013200,0.92782,0.92783,0.9278,0.92783,24440000
EURCHF,20251103,013300,0.92782,0.92786,0.92782,0.92786,27960000
EURCHF,20251103,013400,0.92785,0.92787,0.92782,0.92783,36280000
EURCHF,20251103,013500,0.92783,0.92783,0.92779,0.92781,43320000
EURCHF,20251103,013600,0.92782,0.92784,0.92781,0.92782,22560000
EURCHF,20251103,013700,0.92782,0.92785,0.9278,0.92783,43560000
EURCHF,20251103,013800,0.92783,0.92787,0.92783,0.92786,15220000
EURCHF,20251103,013900,0.92787,0.92792,0.92787,0.92788,29020000
