<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20251124,000000,1.15074,1.15081,1.15072,1.15081,42060000
EURUSD,20251124,000100,1.1508,1.15081,1.15076,1.15077,10690000
EURUSD,20251124,000200,1.15078,1.15082,1.15078,1.15078,7540000
EURUSD,20251124,000300,1.15073,1.15076,1.15069,1.15069,21040000
EURUSD,20251124,000400,1.15067,1.15069,1.15064,1.15066,18680000
EURUSD,20251124,000500,1.15067,1.15069,1.15065,1.15067,31060000
EURUSD,20251124,000600,1.15067,1.15067,1.15063,1.15063,22170000
EURUSD,20251124,000700,1.15064,1.15064,1.1506,1.1506,5400000
EURUSD,20251124,000800,1.15061,1.15064,1.1506,1.15062,10800000
EURUSD,20251124,000900,1.15063,1.15064,1.15058,1.15058,21380000
EURUSD,20251124,001000,1.15059,1.15059,1.15059,1.15059,900000
EURUSD,20251124,001100,1.15062,1.15063,1.1506,1.1506,6480000
EURUSD,20251124,001200,1.15059,1.15059,1.15054,1.15054,6310000
EURUSD,20251124,001300,1.15053,1.15053,1.15048,1.1505,18660000
EURUSD,20251124,001400,1.15051,1.15054,1.15048,1.15053,23550000
EURUSD,20251124,001500,1.15052,1.15058,1.15052,1.15057,33460000
EURUSD,20251124,001600,1.15056,1.15057,1.15054,1.15055,5500000
EURUSD,20251124,001700,1.15055,1.15055,1.15055,1.15055,900000
EURUSD,20251124,001800,1.15052,1.15052,1.15032,1.15033,64490000
EURUSD,20251124,001900,1.15033,1.15033,1.15018,1.15019,45650000
EURUSD,20251124,002000,1.15019,1.15045,1.15019,1.15044,96880000
EURUSD,20251124,002100,1.15048,1.1505,1.15047,1.15049,14050000
EURUSD,20251124,002200,1.15049,1.15063,1.15047,1.15057,30830000
EURUSD,20251124,002300,1.15058,1.15061,1.15051,1.1506,33210000
EURUSD,20251124,002400,1.15062,1.15074,1.15062,1.15064,42510000
EURUSD,20251124,002500,1.15064,1.15066,1.15063,1.15063,6190000
EURUSD,20251124,002600,1.15066,1.15066,1.15063,1.15063,8370000
EURUSD,20251124,002700,1.15066,1.15069,1.15058,1.15058,11120000
EURUSD,20251124,002800,1.15058,1.15058,1.15052,1.15052,12580000
EURUSD,20251124,002900,1.15054,1.15054,1.15054,1.15054,1800000
EURUSD,20251124,003000,1.15055,1.15055,1.15053,1.15054,5580000
EURUSD,20251124,003100,1.15053,1.15053,1.15047,1.15049,7640000
EURUSD,20251124,003200,1.1505,1.1505,1.15048,1.15048,3780000
EURUSD,20251124,003300,1.15047,1.15055,1.15047,1.15049,23850000
EURUSD,20251124,003400,1.15048,1.15049,1.15045,1.15048,19100000
EURUSD,20251124,003500,1.15047,1.15048,1.15041,1.15041,26910000
EURUSD,20251124,003600,1.15042,1.15044,1.15031,1.15032,34880000
EURUSD,20251124,003700,1.15033,1.15035,1.15033,1.15033,9170000
EURUSD,20251124,003800,1.15036,1.15045,1.15036,1.15042,16110000
EURUSD,20251124,003900,1.15044,1.1505,1.15044,1.15048,21490000
EURUSD,20251124,004000,1.15049,1.15058,1.15049,1.15056,25350000
EURUSD,20251124,004100,1.15058,1.15058,1.15055,1.15057,6240000
EURUSD,20251124,004200,1.15055,1.15055,1.15047,1.15049,13440000
EURUSD,20251124,004300,1.15045,1.15049,1.15044,1.15047,9740000
EURUSD,20251124,004400,1.15048,1.15048,1.15047,1.15047,3560000
EURUSD,20251124,004500,1.15048,1.15049,1.15042,1.15043,17680000
EURUSD,20251124,004700,1.15047,1.15054,1.15047,1.15052,8180000
EURUSD,20251124,004800,1.15055,1.15055,1.15048,1.15048,13350000
EURUSD,20251124,004900,1.1505,1.1505,1.15049,1.15049,1800000
EURUSD,20251124,005000,1.1505,1.15054,1.1505,1.15054,6190000
EURUSD,20251124,005100,1.15054,1.15055,1.1505,1.15053,8190000
EURUSD,20251124,005200,1.15052,1.15053,1.1505,1.1505,14860000
EURUSD,20251124,005300,1.15052,1.15055,1.15046,1.1505,17220000
EURUSD,20251124,005400,1.15049,1.15056,1.15049,1.15055,14360000
EURUSD,20251124,005500,1.15054,1.15054,1.15052,1.15052,8620000
EURUSD,20251124,005600,1.15053,1.15059,1.15052,1.15057,60640000
EURUSD,20251124,005700,1.15056,1.15064,1.15056,1.15062,41180000
EURUSD,20251124,005800,1.15061,1.15068,1.15061,1.15064,15920000
EURUSD,20251124,005900,1.15066,1.15068,1.15063,1.15068,3520000
EURUSD,20251124,010000,1.15068,1.15075,1.15068,1.15072,17490000
EURUSD,20251124,010100,1.15069,1.1507,1.15067,1.1507,19050000
EURUSD,20251124,010200,1.15072,1.15089,1.15072,1.15086,24680000
EURUSD,20251124,010300,1.15088,1.1509,1.15079,1.15083,62890000
EURUSD,20251124,010400,1.15083,1.15084,1.15077,1.15079,27900000
EURUSD,20251124,010500,1.15079,1.15079,1.15068,1.1507,27000000
EURUSD,20251124,010600,1.15069,1.15069,1.15064,1.15067,23290000
EURUSD,20251124,010700,1.15066,1.15069,1.15066,1.15068,10800000
EURUSD,20251124,010800,1.15072,1.15075,1.15071,1.15073,36310000
EURUSD,20251124,010900,1.15072,1.15075,1.15072,1.15073,14400000
EURUSD,20251124,011000,1.15075,1.15078,1.15075,1.15075,8190000
EURUSD,20251124,011100,1.15074,1.15074,1.15072,1.15073,6300000
EURUSD,20251124,011200,1.15073,1.15073,1.15067,1.15067,7870000
EURUSD,20251124,011300,1.15068,1.15069,1.15063,1.15064,14400000
EURUSD,20251124,011400,1.1506,1.15063,1.15058,1.15063,22720000
EURUSD,20251124,011500,1.15063,1.15078,1.15063,1.15075,25990000
EURUSD,20251124,011600,1.15076,1.15078,1.15059,1.15062,53100000
EURUSD,20251124,011700,1.15062,1.15062,1.15058,1.1506,13710000
EURUSD,20251124,011800,1.15059,1.15067,1.15059,1.15062,19870000
EURUSD,20251124,011900,1.15065,1.15065,1.15057,1.15057,35670000
EURUSD,20251124,012000,1.15059,1.15059,1.15057,1.15058,7300000
EURUSD,20251124,012100,1.15056,1.15056,1.15053,1.15055,6930000
EURUSD,20251124,012200,1.15054,1.15055,1.15049,1.15049,35420000
EURUSD,20251124,012300,1.1505,1.15055,1.1505,1.15054,38480000
EURUSD,20251124,012400,1.15056,1.1507,1.15055,1.15068,34290000
EURUSD,20251124,012500,1.15069,1.1507,1.15067,1.15069,16970000
EURUSD,20251124,012600,1.15067,1.15067,1.15063,1.15063,15080000
EURUSD,20251124,012700,1.15066,1.15075,1.15063,1.15073,25890000
EURUSD,20251124,012800,1.15077,1.15079,1.15074,1.15076,16090000
EURUSD,20251124,012900,1.15078,1.15089,1.15077,1.15088,29480000
EURUSD,20251124,013000,1.1509,1.15094,1.15088,1.1509,30270000
EURUSD,20251124,013100,1.15089,1.15095,1.15087,1.15089,23230000
EURUSD,20251124,013200,1.15089,1.15099,1.15089,1.15099,19800000
EURUSD,20251124,013300,1.15097,1.1511,1.15096,1.15101,38930000
EURUSD,20251124,013400,1.151,1.15103,1.15097,1.15102,27950000
EURUSD,20251124,013500,1.15103,1.15104,1.15089,1.15089,72880000
EURUSD,20251124,013600,1.15088,1.15093,1.15083,1.15091,96080000
EURUSD,20251124,013700,1.15092,1.15093,1.15083,1.15084,21210000
EURUSD,20251124,013800,1.15085,1.15097,1.15085,1.15095,29430000
EURUSD,20251124,013900,1.15096,1.15099,1.15094,1.15096,29380000
EURUSD,20251124,014000,1.15094,1.15099,1.15093,1.15097,38910000
EURUSD,20251124,014100,1.15095,1.15105,1.15095,1.15101,58150000
EURUSD,20251124,014200,1.15102,1.15105,1.15101,1.15104,28620000
EURUSD,20251124,014300,1.15102,1.15109,1.15102,1.15107,35890000
EURUSD,20251124,014400,1.15109,1.15114,1.15106,1.15113,52200000
EURUSD,20251124,014500,1.15116,1.15116,1.15111,1.15114,65290000
EURUSD,20251124,014600,1.15112,1.15114,1.15111,1.15111,17520000
EURUSD,20251124,014700,1.15111,1.15114,1.1511,1.15112,34830000
EURUSD,20251124,014800,1.15112,1.15113,1.15112,1.15113,10110000
EURUSD,20251124,014900,1.15116,1.15128,1.15116,1.15123,46060000
EURUSD,20251124,015000,1.15125,1.15128,1.15117,1.15117,35110000
EURUSD,20251124,015100,1.15117,1.15119,1.15108,1.15112,56920000
EURUSD,20251124,015200,1.15113,1.15113,1.15103,1.15103,31260000
EURUSD,20251124,015300,1.15104,1.15116,1.15104,1.15114,40330000
EURUSD,20251124,015400,1.15113,1.15116,1.15106,1.15106,37870000
EURUSD,20251124,015500,1.15107,1.15107,1.15101,1.15101,25720000
EURUSD,20251124,015600,1.151,1.151,1.15088,1.15092,58710000
EURUSD,20251124,015700,1.15091,1.15094,1.15083,1.15089,55280000
EURUSD,20251124,015800,1.15089,1.15098,1.15088,1.15095,66570000
EURUSD,20251124,015900,1.15097,1.15105,1.15095,1.15102,58500000
EURUSD,20251124,020000,1.15102,1.15106,1.15102,1.15104,34090000
EURUSD,20251124,020100,1.15104,1.15115,1.15103,1.15114,54790000
EURUSD,20251124,020200,1.15114,1.15119,1.15113,1.15118,42210000
EURUSD,20251124,020300,1.15118,1.15121,1.15102,1.15104,54200000
EURUSD,20251124,020400,1.15104,1.15118,1.15103,1.15114,50740000
EURUSD,20251124,020500,1.15115,1.15119,1.15115,1.15117,28240000
EURUSD,20251124,020600,1.15116,1.15119,1.15113,1.15119,27670000
EURUSD,20251124,020700,1.15119,1.15122,1.15117,1.15119,59400000
EURUSD,20251124,020800,1.15119,1.15119,1.15117,1.15118,37600000
EURUSD,20251124,020900,1.15117,1.15118,1.15106,1.15115,57610000
EURUSD,20251124,021000,1.15115,1.15122,1.15115,1.15121,46800000
EURUSD,20251124,021100,1.15122,1.15126,1.15122,1.15123,23630000
