<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20251103,000000,1.15273,1.1529,1.1527,1.15286,125000000
EURUSD,20251103,000100,1.15286,1.15309,1.15286,1.153,155850000
EURUSD,20251103,000200,1.15302,1.15308,1.15289,1.15294,63490000
EURUSD,20251103,000300,1.15294,1.15294,1.15268,1.15276,36310000
EURUSD,20251103,000400,1.15275,1.15275,1.15266,1.15272,29880000
EURUSD,20251103,000500,1.15272,1.15274,1.15268,1.15273,11700000
EURUSD,20251103,000600,1.15273,1.15273,1.15265,1.15269,9610000
EURUSD,20251103,000700,1.15267,1.15273,1.15266,1.15273,13880000
EURUSD,20251103,000800,1.15272,1.15273,1.15268,1.1527,14010000
EURUSD,20251103,000900,1.15273,1.15277,1.15271,1.15274,30690000
EURUSD,20251103,001000,1.15273,1.15276,1.15267,1.15273,20540000
EURUSD,20251103,001100,1.15272,1.15273,1.15267,1.15267,16170000
EURUSD,20251103,001200,1.15267,1.15274,1.1526,1.15263,32350000
EURUSD,20251103,001300,1.15263,1.15289,1.15263,1.15273,48230000
EURUSD,20251103,001400,1.15277,1.15284,1.15272,1.15275,62240000
EURUSD,20251103,001500,1.15276,1.15276,1.1527,1.1527,29110000
EURUSD,20251103,001600,1.15269,1.15269,1.15262,1.15263,32710000
EURUSD,20251103,001700,1.15262,1.15262,1.15261,1.15262,14440000
EURUSD,20251103,001800,1.15262,1.15268,1.1526,1.15266,49110000
EURUSD,20251103,001900,1.15264,1.15264,1.15251,1.15254,29870000
EURUSD,20251103,002000,1.15256,1.15256,1.15251,1.15255,8750000
EURUSD,20251103,002100,1.15257,1.15262,1.15257,1.15262,12310000
EURUSD,20251103,002200,1.15263,1.15291,1.15263,1.1529,35750000
EURUSD,20251103,002300,1.1529,1.1529,1.15286,1.15287,10700000
EURUSD,20251103,002400,1.15287,1.15298,1.15286,1.15298,13000000
EURUSD,20251103,002500,1.15295,1.15302,1.15295,1.15295,18240000
EURUSD,20251103,002600,1.15297,1.15303,1.15297,1.15302,9000000
EURUSD,20251103,002700,1.15301,1.15302,1.15297,1.15301,18640000
EURUSD,20251103,002800,1.153,1.15303,1.15293,1.15296,21320000
EURUSD,20251103,002900,1.15297,1.15298,1.15294,1.15294,9000000
EURUSD,20251103,003000,1.15294,1.153,1.15286,1.153,20190000
EURUSD,20251103,003100,1.15298,1.15298,1.15282,1.15286,27720000
EURUSD,20251103,003200,1.15287,1.15288,1.15282,1.15284,26650000
EURUSD,20251103,003300,1.15283,1.15283,1.15275,1.15277,27550000
EURUSD,20251103,003400,1.15277,1.15282,1.15274,1.1528,10950000
EURUSD,20251103,003500,1.15282,1.15282,1.15277,1.15279,17450000
EURUSD,20251103,003600,1.15279,1.15287,1.15279,1.15283,21050000
EURUSD,20251103,003700,1.15286,1.15288,1.1528,1.15283,22340000
EURUSD,20251103,003800,1.15282,1.15284,1.15278,1.15279,16140000
EURUSD,20251103,003900,1.15277,1.15282,1.15277,1.15282,13990000
EURUSD,20251103,004000,1.15286,1.15289,1.15284,1.15289,7850000
EURUSD,20251103,004100,1.15289,1.15297,1.15289,1.15294,18330000
EURUSD,20251103,004200,1.15294,1.15301,1.15292,1.15292,29600000
EURUSD,20251103,004300,1.15291,1.15293,1.15284,1.15287,28750000
EURUSD,20251103,004400,1.15287,1.15288,1.15282,1.15287,17500000
EURUSD,20251103,004500,1.15291,1.15291,1.15253,1.15258,77090000
EURUSD,20251103,004600,1.15257,1.15259,1.15241,1.15248,77780000
EURUSD,20251103,004700,1.1525,1.15261,1.15247,1.15249,30390000
EURUSD,20251103,004800,1.15248,1.15252,1.15242,1.15248,22400000
EURUSD,20251103,004900,1.15248,1.15261,1.15248,1.15258,10300000
EURUSD,20251103,005000,1.15259,1.1527,1.15256,1.15264,38510000
EURUSD,20251103,005100,1.15263,1.15263,1.15256,1.15261,18800000
EURUSD,20251103,005200,1.15262,1.15265,1.15258,1.1526,23250000
EURUSD,20251103,005300,1.15262,1.15269,1.15261,1.15266,20850000
